year1,year2,year3,year 4,year 5,year 6
9533,8775,45001,9533,8775,45001
7123,6493,36302,7123,6493,36302
6493,5778,34781,6493,5778,34781
7262,6410,36995,7262,6410,36995
7807,6953,43026,7807,6953,43026
11587,10562,63963,11587,10562,63963
10841,9676,54291,10841,9676,54291
8167,7406,38408,8167,7406,38408
7192,6404,41228,7192,6404,41228
7212,6376,38718,7212,6376,38718
7787,6912,44866,7787,6912,44866
8649,7757,46295,8649,7757,46295
10529,9434,55964,10529,9434,55964
10051,8995,51998,10051,8995,51998
8429,7579,45647,8429,7579,45647
7533,6716,41696,7533,6716,41696
9005,8016,46380,9005,8016,46380
10093,9092,48457,10093,9092,48457
9189,8138,50483,9189,8138,50483
10005,8974,5086,10005,8974,5086
