adman,advertising executive
airman,aviator; flyer; pilot
alderman,council member
anchorman,anchor; commentator; newscaster
anchorwoman,anchor; commentator; newscaster
assemblyman,assembly member
businessman,businessperson; executive
businesswoman,businessperson; executive
cameraman,camera operator; cinematographer
caveman,cave dweller
chairman,chair; chairperson
chairwoman,chair; chairperson
charwoman,office cleaner
committeeman,committee member
committeewoman,committee member
congressman,congressional representative
congresswoman,congressional representative
councilman,council member
councilwoman,council member
countryman,compatriot; fellow citizen
countrywoman,compatriot; fellow citizen
craftsman,artisan
crewman,crewmember
doorman,door attendant
draftsman,drafter
fireman,firefighter
fisherman,angler
foreman,supervisor
gentleman,person
gentlewoman,person
man,person
men,person
woman,person
women,person
handyman,repairperson
he,they
horseman,equestrian
horsewoman,equestrian
kinsman,relative
kinswoman,relative
lawman,officer; sheriff
layman,nonprofessional
laywoman,nonprofessional
letterman,varsity athlete
longshoreman,dockworker
madman,lunatic; maniac
madwoman,lunatic; maniac
marksman,expert shooter; sharpshooter
middleman,intermediary
mailman,mail carrier
newsman,reporter
patrolman,patrol officer; police officer
policeman,police officer
policewoman,police officer
postman,mail carrier; postal worker
pressman,press operator
repairman,repairperson; technician
salesman,sales clerk; salesperson; sales representative
saleswoman,sales clerk; salesperson; sales representative
serviceman,service member; technician
spokesman,representative; spokesperson
spokeswoman,representative; spokesperson
statesman,political leader; diplomat; public official
stateswoman,political leader; diplomat; public official
watchman,guard; security guard
workman,worker
workwoman,worker
actress,actor
deaconess,deacon
enchantress,enchanter
giantess,giant
heiress,heir
hostess,host
patroness,patron
seamstress,tailor
shepherdess,shepherd
stewardess,flight attendant; steward
waitress,server; waiter
bellboy,bellhop
busboy,kitchen helper
newsboy,newspaper carrier
salesgirl,sales clerk
schoolboy,pupil; schoolchild; student
schoolgirl,pupil; schoolchild; student
guy,person
guys,people
lady,person
ladies,people
chambermaid,hotel cleaner
housemaid,house cleaner
maid,hotel cleaner
housewife,homemaker
mankind,humankind; humanity
she,they
him,them
her,them
